        FT       PID        QT        WT
         6         4         2         2
         8         3         2         3
         8         7         4         2
         8         6         4         2
         9         1         1         4
         9        12         5         2
        11        15         7         2
        12         8         4         4
        13        10         5         4
        14        19        10         2
        15         2         1         7
        15        13         5         5
        15        17         7         4
        16        21        10         3
        17        23        11         3
        19        16         7         6
        19        20        10         2
        21        24        11         5
        21        29        13         4
        22         5         2        10
        23         9         5         9
        24        27        12         6
        24        28        12         6
        26        18        10         8
        27        11         5        11
        27        22        11         8
        29        26        12         8
Patients: 30 [NP: 8,SP: 12,EP: 10]
Hospitals= 4
Cars: 38[SCar: 16,NCar: 22]
Avg Wait Time= 0
Avg Busy Time= 0
Avg Utilization= 0
